date_utc,start_equity,end_equity,net_pnl,fees_paid,positions_held,trades_count,max_exposure,max_drawdown,rules_followed,rule_violations,notes
2026-01-03,1.000000,1.000000,0,4.446421,,1,,,,,auto backtest report run_id=BTC-USD_60s_2023-01-04_2026-01-03_x10_b1d44bb8_20260103T230824Z
2026-01-03,1.000000,-16.992101,-17.992101,4.446421,,2,,,,,auto backtest report run_id=BTC-USD_60s_2023-01-04_2026-01-03_x10_b1d44bb8_20260104T002218Z
2026-01-04,1.000000,-4.989830,-5.98983,4.299912,,1,,,,,auto backtest report run_id=BTC-USD_300s_2023-01-05_2026-01-04_x10_90aa2ef0_20260104T002759Z
2026-01-04,1.000000,-7.631501,-8.631501,2.605747,,1,,,,,auto backtest report run_id=BTC-USD_900s_2021-01-05_2026-01-04_x10_22923f31_20260104T003512Z
2026-01-04,1.000000,-24.277859,-25.277859,2.794927,,1,,,,,auto backtest report run_id=BTC-USD_15m_2025-01-04_2026-01-04_x10_e5dc5d60_20260104T013042Z
2026-01-02,1.000000,-5.683457,-6.683457,1.023406,,20,,,,,auto backtest report run_id=ETH-USD_1h_2025-01-02_2026-01-02_x10_95cef035_20260104T013045Z
2026-01-02,1.000000,-5.884448,-6.884448,1.04772,,25,,,,,auto backtest report run_id=SOL-USD_1h_2025-01-02_2026-01-02_x10_65abe998_20260104T013047Z
2026-01-04,1.000000,-31.563617,-32.563617,2.794927,,1,,,,,auto backtest report run_id=BTC-USD_15m_2025-01-04_2026-01-04_x10_e5dc5d60_20260104T013042Z
2026-01-02,1.000000,-12.559735,-13.559735,1.023406,,20,,,,,auto backtest report run_id=ETH-USD_1h_2025-01-02_2026-01-02_x10_95cef035_20260104T013045Z
2026-01-02,1.000000,-12.768896,-13.768896,1.04772,,25,,,,,auto backtest report run_id=SOL-USD_1h_2025-01-02_2026-01-02_x10_65abe998_20260104T013047Z
2026-01-04,1.000000,-31.563617,-32.563617,2.794927,,1,,,,,auto backtest report run_id=BTC-USD_15m_2025-01-04_2026-01-04_x10_e5dc5d60_20260104T013205Z
2026-01-02,1.000000,-12.559735,-13.559735,1.023406,,20,,,,,auto backtest report run_id=ETH-USD_1h_2025-01-02_2026-01-02_x10_95cef035_20260104T013208Z
2026-01-02,1.000000,-12.768896,-13.768896,1.04772,,25,,,,,auto backtest report run_id=SOL-USD_1h_2025-01-02_2026-01-02_x10_65abe998_20260104T013210Z
2026-01-02,1.000000,-37.916738,-38.916738,1.136092,,1,,,,,auto backtest report run_id=BTC-USD_1h_2025-01-02_2026-01-02_x10_e8e47c03_20260104T013641Z
2026-01-02,1.000000,-19.436013,-20.436013,1.023406,,20,,,,,auto backtest report run_id=ETH-USD_1h_2025-01-02_2026-01-02_x10_95cef035_20260104T013643Z
2026-01-02,1.000000,-19.653344,-20.653344,1.04772,,25,,,,,auto backtest report run_id=SOL-USD_1h_2025-01-02_2026-01-02_x10_65abe998_20260104T013645Z
2026-01-04,1.000000,-28.114680,-29.11468,2.652843,,1,,,,,auto backtest report run_id=SOL-USD_15m_2025-01-04_2026-01-04_x10_94c196d6_20260104T144008Z
2026-01-03,1.000000,-46.726267,-47.726267,4.535866,,1,,,,,auto backtest report run_id=BTC-USD_1m_2025-07-04_2026-01-03_x10_424c16c7_20260104T171009Z
2026-01-04,1.000000,-36.646235,-37.646235,4.357992,,1,,,,,auto backtest report run_id=SOL-USD_1m_2025-07-04_2026-01-04_x10_d42dda9a_20260104T171037Z
